county,waterbody.type,wbic,name,name.local,named,hydro.unit,basin.maj,basin.min,seg.no,landlock,lake.type,access,area,impound,size.code,dep.max,dep.avg,len.shore,len.shore.m,dist.ash,muskie,nor.pike,wae,lmb,smb,pan,trout,cat,sturg,merc.warn
Ashland,LP,2286300,UN LAKE,NA,FALSE,7050002,2,261,1,FALSE,NA,NA,NA,0,VS,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashland,LP,2286400,UN LAKE,NA,FALSE,7050002,2,261,1,FALSE,NA,NA,NA,0,VS,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashland,LP,2291200,UN LAKE,NA,FALSE,7050002,2,261,1,FALSE,NA,NA,NA,1,VS,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashland,RF,2291500,UN LAKE,NA,FALSE,7050002,2,261,1,NA,NA,NA,NA,6,VS,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashland,LP,2293100,UN LAKE,NA,FALSE,7050002,2,261,1,FALSE,NA,NA,NA,4,VS,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashland,LP,2401500,UN LAKE,NA,FALSE,7050001,2,261,1,FALSE,NA,NA,NA,5,VS,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashland,LP,2401700,UN LAKE,NA,FALSE,7050001,2,261,1,FALSE,NA,NA,NA,19,VS,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashland,LP,2403400,UN LAKE,NA,FALSE,7050001,2,261,1,FALSE,NA,NA,NA,0,VS,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashland,RF,2405600,UN LAKE,NA,FALSE,7050001,2,261,1,NA,NA,NA,NA,0,VS,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashland,RF,2410000,UN LAKE,NA,FALSE,7050001,2,261,1,NA,NA,NA,NA,5,VS,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
